amount,name,price,weight
20p,M&S Select Farms Fairtrade Bananas,£1,5 per pack
£7.27,M&S Select Farms Strawberries,£4,550g
£15,M&S Select Farms Blueberries,£2.25,150g
30p,M&S Select Farms Royal Gala Apples min,£1.80,6 per pack
26.7p,M&S Select Farms Conference Pears Ripen at Home min,£1.60,6 per pack
£6.25,M&S Select Farms Seedless Sable Grapes,£2.50,400g
£14.71,M&S Select Farms Raspberries,£2.50,170g
70p,M&S Sweet & Crunchy Carrots,70p,1kg
£7.86,M&S Select Farms Tenderstem Broccoli,£2.75,350g
£4.44,M&S Select Farms Cooking Spinach,£2,450g
£2,M&S Select Farms Baby New Potatoes,£1.50,750g
£1.35,M&S Select Farms Sweet Potatoes,£1.35,1kg
£3.33,M&S British White Mushrooms,£1,300g
£4,M&S Select Farms Courgettes,£1.30,325g
95p,M&S Select Farms Brown Cooking Onions,95p,1kg
£2.99,M&S Select Farms Cherry Tomatoes,£1,335g
£3.75,M&S Mushroom Stir Fry,£1.50,400g
50.6p,M&S Select Farms British Semi Skimmed Milk 4 Pints,£1.15,2.272L
74.8p,M&S Select Farms British Semi Skimmed Milk 2 Pints,85p,1.136L
29.2p,M&S Free Range Large Eggs,£3.50,12 per pack
60p,M&S British Salted Butter,£3,500g
36.4p,M&S Egg Noodles,£1,275g
£5,M&S British Mature Cheddar,£2.75,550g
20p,M&S Greek Style Live Yoghurt 0% Fat,£1,500g
33.3p,M&S Low Fat Black Cherry Yogurt,50p,150g
£14,M&S British Chicken Breasts,£3.50,250g
£6,M&S Oakham Chicken Thigh Fillets,£6,1kg
£8.33,M&S Select Farms 2 British Outdoor Bred Pork Chops Thick Cut,£3.75,450g
60p,M&S Select Farms Beef Mince 12% Fat,£3,500g
£6.76,M&S Select Farms 12 Chipolata Pork Sausages,£2.30,340g
£9.36,M&S 4 Aberdeen Angus Burgers,£4.25,454g
£1.60,M&S British Sliced Honey Roast Ham,£2,125g
£18,M&S Cod Fillets Skinless & Boneless,£4.50,250g
£19.17,M&S 4 Scottish Salmon Fillets Skin On,£9.20,480g
78.1p,M&S Tuna Chunks in Spring Water,£1.25,160g
98.3p,M&S Hand Stretched Stone Baked Magnificently Meaty Pizza,£4.50,458g
66.7p,M&S Cheese & Tomato Pizza,£3.50,525g
68.8p,M&S Spaghetti Bolognese,£2.75,400g
68.8p,M&S Macaroni Cheese,£2.75,400g
64p,M&S Bangers & Mash with Onion Gravy,£2.75,430g
£1,M&S Chicken Tikka Masala,£4,400g
36p,M&S Olive Oil,£3.60,1L
8.1p,M&S Super Soft White Medium Sliced Bread,65p,800g
16p,M&S British Petits Pois Frozen,£2,1.25kg
50p,M&S Sweet Potato Chips Frozen,£2.50,500g
8.3p,M&S Straight Cut Chips Frozen,£1.25,1.5kg
16p,M&S Remarksable Traditional Porridge Oats,80p,500g
20p,M&S Corn Flakes,£1,500g
75p,M&S All Butter Double Belgian Chocolate Chunk Cookies,£1.50,200g
£1.65,M&S Swiss Premium Chocolate Bar,£1.65,100g
£1,M&S Mature Cheddar & Red Onion Hand Cooked Crisps,£1.50,150g
8.5p,M&S Baked Beans,35p,410g
£1.25,M&S Sweet & Salty Popcorn,£1,80g
51.1p,M&S Wine Gums,£1.15,225g
51.1p,M&S Jelly Babies,£1.15,225g
45.7p,M&S Tomato & Basil Sauce,£1.60,350g
92.1p,M&S Made in Italy Green Pesto,£1.75,190g
15p,M&S Penne Pasta,75p,500g
15p,M&S Spaghetti,75p,500g
18p,M&S Basmati Rice,£1.80,1kg
12.7p,M&S No Added Sugar Double Strength Orange Squash,95p,750ml
