,name,price,finalAmount,finalWeight
0,Essential Fairtrade Bananas,1.00,0.2,5
1,Waitrose Strawberries,2.50,6.25,0.4
2,Blueberries,3.50,15.56,0.225
3,Essential Royal Gala Apples,1.80,0.3, 6
4,Essential Pears,1.70,0.28300000000000003, 6
5,Waitrose Sable Grapes,2.99,7.48,0.4
6,Essential Lemons,1.80,0.3, 6
7,Essential Oranges,1.90,0.271,7
8,Raspberries,2.50,16.67,0.15
9,Essential Carrots,each ,0.6, 0.14
10,Waitrose trimmed tenderstem broccoli,1.10,1.38,0.08
11,Waitrose ready washed spinach,1.90,0.809,0.235
12,Essential Cucumber,0.6,0.6,1
13,Baby New Potatoes,1.50,2,0.75
14,Essential Sweet Potatoes,each ,0.12,0.292
15,Duchy Organic Courgettes,2.00,6.67,0.3
16,Essential Onions,0.95,0.95,1
17,Essential Cherry Tomatoes,0.75,3,0.25
18,Waitrose Mushroom Stir Fry,1.50,3.75,0.4
19,Essential Chopped Tomatoes in Natural Juice,1.60,1,4
20,Essential Semi Skimmed Milk,1.15,0.506,2.272
21,Essential Semi Skimmed Milk,0.89,0.7829999999999999,1.136
22,Waitrose Eggs British Blacktail Free Range Large,3.50,0.292,12
23,Essential Salted Dairy Butter,3.00,6,0.5
24,Waitrose Egg Noodles,1.00,3.64,0.275
25,Essential Mature British Cheddar Strength 4,2.75,5,0.55
26,Essential Fat Free Greek Style Natural Yogurt,1.00,0.2,0.5
27,Waitrose Black Cherry Yogurt,0.8,0.5329999999999999,0.15
28,No.1 Corn Fed Chicken Breast Fillets 4s,each ,17.00, 0.51
29,Essential British Chicken Thigh Fillets,6.00,6,1
30,Essential Pork Chops,2.50,6.25,0.4
31,Essential British Beef Mince 10% Fat,3.25,6.50,0.5
32,Essential 12 British Pork Chipolatas,1.80,5.30,0.34
33,Essential Unsmoked British Bacon 10 Rashers,2.25,7.50,0.3
34,Waitrose 4 Aberdeen Angus Beef Burgers Quarterpounders,4.25,9.37,0.454
35,Waitrose British Wiltshire Cured Honey Roast 4 Slices,3.50,2.70,0.13
36,Waitrose Cod Fillets MSC,4.50,18.75,0.24
37,Waitrose 4 Scottish Salmon Fillets,8.50,17.71,0.48
38,Essential Tuna Steak in Spring Water,6.00,1,0.15
39,Waitrose Italian Spaghetti Bolognese,2.75,6.88,0.4
40,Waitrose Italian Macaroni Cheese,2.75,6.88,0.4
41,Waitrose Classics Sausage & Mash,2.75,6.40,0.43
42,Waitrose Indian Chicken Tikka Masala,4.00,11.43,0.35
43,Essential Olive Oil,4.25,0.425,1
44,Essential White Medium Sliced Bread,0.6,0.075,0.8
45,Essential Wholemeal Pitta,0.5,0.083,6
46,Essential 8 Large Tortilla Wraps,1.00,0.205,0.488
47,Essential Petits Pois,2.00,1.60,1.25
48,Waitrose FRZ Sweet Potato Oven Chips,2.40,4.80,0.5
49,Essential Straight Cut Oven Chips,1.25,1.39,0.9
50,Essential Porridge Oats,1.10,0.11,1
51,Essential Corn Flakes,1.00,0.2,0.5
52,Essential Custard Creams,0.3,0.2,0.15
53,Waitrose 8 Belgian Double Chocolate Cookies,2.00,1,0.2
54,Waitrose Belgian Milk Chocolate,1.80,1,0.18
55,Waitrose Cheddar & Caramelised Onion Crisps,1.50,1,0.15
56,Essential Baked Beans in Tomato Sauce,0.35,0.875,0.4
57,Waitrose sweet & salty popcorn,1.00,1.12,0.09
58,Waitrose Wine Gums,1.15,0.575,0.2
59,Waitrose Jelly Babies,1.15,0.575,0.2
60,Waitrose cherry tomato & basil sauce,2.75,0.7859999999999999,0.35
61,No.1 Pesto Alla Genovese,2.75,1.45,0.19
62,Essential Mayonnaise,0.95,0.19,0.5
63,Essential Penne,1.10,1.10,1
64,Essential Spaghetti,0.75,1.50,0.5
65,Essential Basmati Rice,1.60,1.60,1
66,Essential Orange Squash No Added Sugar,0.9,0.12,0.75
