amount,name,price,weight
(20p each),Essential Fairtrade Bananas,1.00,5s
(£6.25/kg),Waitrose Strawberries,2.50,400g
(£15.56/kg),Blueberries,3.50,225g
(30p each),Essential Royal Gala Apples,1.80,minimum 6
(28.3p each),Essential Pears,1.70,min 6
(£7.48/kg),Waitrose Sable Grapes,2.99,400g
(30p each),Essential Lemons,1.80,min 6s
(27.1p each),Essential Oranges,1.90,7s
(£16.67/kg),Raspberries,2.50,150g
(60p/kg),Essential Carrots,each ,Typical weight 0.14kg
(£1.38/100g),Waitrose trimmed tenderstem broccoli,1.10,80g
(80.9p/100g),Waitrose ready washed spinach,1.90,235g
(60p each),Essential Cucumber,0.6,each
(£2/kg),Baby New Potatoes,1.50,750g
(12p/100g),Essential Sweet Potatoes,each ,Typical weight 292g
(£6.67/kg),Duchy Organic Courgettes,2.00,300g
(95p/kg),Essential Onions,0.95,1kg
(£3/kg),Essential Cherry Tomatoes,0.75,250g
(£3.75/kg),Waitrose Mushroom Stir Fry,1.50,400g
(£1/kg),Essential Chopped Tomatoes in Natural Juice,1.60,4x400g
(50.6p/litre),Essential Semi Skimmed Milk,1.15,2.272litre
(78.3p/litre),Essential Semi Skimmed Milk,0.89,1.136litre
(29.2p each),Waitrose Eggs British Blacktail Free Range Large,3.50,12s
(£6/kg),Essential Salted Dairy Butter,3.00,500g
(£3.64/kg),Waitrose Egg Noodles,1.00,275g
(£5/kg),Essential Mature British Cheddar Strength 4,2.75,550g
(20p/100g),Essential Fat Free Greek Style Natural Yogurt,1.00,500g
(53.3p/100g),Waitrose Black Cherry Yogurt,0.8,150g
(£17.00/kg),No.1 Corn Fed Chicken Breast Fillets 4s,each ,Typical weight 0.51kg
(£6/kg),Essential British Chicken Thigh Fillets,6.00,1kg
(£6.25/kg),Essential Pork Chops,2.50,400g
(£6.50/kg),Essential British Beef Mince 10% Fat,3.25,500g
(£5.30/kg),Essential 12 British Pork Chipolatas,1.80,340g
(£7.50/kg),Essential Unsmoked British Bacon 10 Rashers,2.25,300g
(£9.37/kg),Waitrose 4 Aberdeen Angus Beef Burgers Quarterpounders,4.25,454g
(£2.70/100g),Waitrose British Wiltshire Cured Honey Roast 4 Slices,3.50,130g
(£18.75/kg),Waitrose Cod Fillets MSC,4.50,240g
(£17.71/kg),Waitrose 4 Scottish Salmon Fillets,8.50,480g
(£1/100g),Essential Tuna Steak in Spring Water,6.00,drained 4x150g
(£6.88/kg),Waitrose Italian Spaghetti Bolognese,2.75,400g
(£6.88/kg),Waitrose Italian Macaroni Cheese,2.75,400g
(£6.40/kg),Waitrose Classics Sausage & Mash,2.75,430g
(£11.43/kg),Waitrose Indian Chicken Tikka Masala,4.00,350g
(42.5p/100ml),Essential Olive Oil,4.25,1litre
(7.5p/100g),Essential White Medium Sliced Bread,0.6,800g
(8.3p each),Essential Wholemeal Pitta,0.5,6s
(20.5p/100g),Essential 8 Large Tortilla Wraps,1.00,488g
(£1.60/kg),Essential Petits Pois,2.00,1.25kg
(£4.80/kg),Waitrose FRZ Sweet Potato Oven Chips,2.40,500g
(£1.39/kg),Essential Straight Cut Oven Chips,1.25,900g
(11p/100g),Essential Porridge Oats,1.10,1kg
(20p/100g),Essential Corn Flakes,1.00,500g
(20p/100g),Essential Custard Creams,0.3,150g
(£1/100g),Waitrose 8 Belgian Double Chocolate Cookies,2.00,200g
(£1/100g),Waitrose Belgian Milk Chocolate,1.80,180g
(£1/100g),Waitrose Cheddar & Caramelised Onion Crisps,1.50,150g
(87.5p/kg),Essential Baked Beans in Tomato Sauce,0.35,400g
(£1.12/100g),Waitrose sweet & salty popcorn,1.00,90g
(57.5p/100g),Waitrose Wine Gums,1.15,200g
(57.5p/100g),Waitrose Jelly Babies,1.15,200g
(78.6p/100g),Waitrose cherry tomato & basil sauce,2.75,350g
(£1.45/100g),No.1 Pesto Alla Genovese,2.75,190g
(19p/100ml),Essential Mayonnaise,0.95,500ml
(£1.10/kg),Essential Penne,1.10,1kg
(£1.50/kg),Essential Spaghetti,0.75,500g
(£1.60/kg),Essential Basmati Rice,1.60,1kg
(12p/100ml),Essential Orange Squash No Added Sugar,0.9,750ml
